date,player,team_vs,AB,H,HR,RBI,BB,SO,season_avg,season_hr,season_rbi,IP,ER,BB_pitch,SO_pitch,ERA,season_wins,season_losses,season_era,season_so
2026-08-08,鈴木 誠也 (CHC),カブス 6 - 4 ロイヤルズ (試合終了),5,2,0,2,0,0,.272,19,66,,,,,,,,,
2026-08-08,大谷 翔平 (LAD),ドジャース 3 - 4 ダイヤモンドバックス (試合終了),2,0,0,0,2,0,.296,26,70,,,,,,,,,
2026-08-08,佐々木 朗希 (LAD),ドジャース 3 - 4 ダイヤモンドバックス (試合終了),,,,,,,,,,6.0,2,1,5,-.--,5,5,4.54,106
2026-08-08,松井 裕樹 (SD),アストロズ 6 - 3 パドレス (試合終了),,,,,,,,,,2.0,1,1,0,-.--,2,1,2.40,47
2026-08-08,吉田 正尚 (BOS),アスレチックス 1 - 13 レッドソックス (試合終了),4,2,0,2,0,0,.273,5,26,,,,,,,,,
2026-08-08,村上 宗隆 (CWS),ガーディアンズ 8 - 2 ホワイトソックス (試合終了),4,1,1,1,0,2,.236,25,52,,,,,,,,,
2026-08-08,岡本 和真 (TOR),ブルージェイズ 5 - 4 フィリーズ (試合終了),5,0,0,0,0,2,.226,24,70,,,,,,,,,
