date,player,team_vs,AB,H,HR,RBI,BB,SO,season_avg,season_hr,season_rbi,IP,ER,BB_pitch,SO_pitch,ERA,season_wins,season_losses,season_era,season_so
2026-05-05,菅野 智之 (COL),メッツ 4 - 2 ロッキーズ,,,,,,,,,,5.1,4,2,1,-.--,3,2,3.41,22
2026-05-05,岡本 和真 (TOR),ブルージェイズ 1 - 5 レイズ,4,1,0,0,1,2,.236,9,22,,,,,,,,,
2026-05-05,鈴木 誠也 (CHC),レッズ 4 - 5 カブス,3,2,1,3,1,0,.321,6,13,,,,,,,,,
2026-05-05,大谷 翔平 (LAD),ドジャース 8 - 3 アストロズ,3,0,0,1,2,0,.240,6,14,,,,,,,,,
2026-05-05,山本 由伸 (LAD),ドジャース 8 - 3 アストロズ,,,,,,,,,,6.0,3,1,8,-.--,3,2,3.09,40
2026-05-05,吉田 正尚 (BOS),レッドソックス 5 - 4 タイガース,4,2,0,0,0,0,.296,0,5,,,,,,,,,
2026-05-05,村上 宗隆 (CWS),ホワイトソックス 6 - 0 エンゼルス,4,3,1,2,1,0,.240,14,28,,,,,,,,,
