date,player,team_vs,AB,H,HR,RBI,BB,SO,season_avg,season_hr,season_rbi,IP,ER,BB_pitch,SO_pitch,ERA,season_wins,season_losses,season_era,season_so
2026-04-22,吉田 正尚 (BOS),ヤンキース 4 - 0 レッドソックス (試合終了),4,0,0,0,0,0,.289,0,5,,,,,,,,,
2026-04-22,大谷 翔平 (LAD),ドジャース 1 - 3 ジャイアンツ (試合終了),4,1,0,0,0,2,.271,5,11,,,,,,,,,
2026-04-22,山本 由伸 (LAD),ドジャース 1 - 3 ジャイアンツ (試合終了),,,,,,,,,,7.0,3,2,7,-.--,2,2,2.48,28
2026-04-22,村上 宗隆 (CWS),ホワイトソックス 11 - 5 ダイヤモンドバックス (試合終了),5,3,1,1,1,0,.234,9,17,,,,,,,,,
2026-04-22,岡本 和真 (TOR),ブルージェイズ 4 - 2 エンゼルス (試合終了),4,0,0,0,0,1,.202,3,8,,,,,,,,,
2026-04-22,今永 昇太 (CHC),フィリーズ 4 - 7 カブス (試合終了),,,,,,,,,,7.0,1,1,1,-.--,2,1,2.17,32
2026-04-22,鈴木 誠也 (CHC),フィリーズ 4 - 7 カブス (試合終了),4,2,1,2,0,1,.256,1,4,,,,,,,,,
