date,player,team_vs,AB,H,HR,RBI,BB,SO,season_avg,season_hr,season_rbi,IP,ER,BB_pitch,SO_pitch,ERA,season_wins,season_losses,season_era,season_so
2026-04-06,今永 昇太 (CHC),カブス 5 - 6 ガーディアンズ (試合終了),,,,,,,,,,5.0,1,1,4,-.--,0,1,4.50,11
2026-04-06,大谷 翔平 (LAD),ドジャース 8 - 6 ナショナルズ (試合終了),4,2,1,2,0,1,.273,2,6,,,,,,,,,
2026-04-06,吉田 正尚 (BOS),パドレス 8 - 6 レッドソックス (試合終了),4,3,0,3,0,0,.231,0,3,,,,,,,,,
2026-04-06,岡本 和真 (TOR),ブルージェイズ 0 - 3 ホワイトソックス (試合終了),3,0,0,0,1,2,.235,2,3,,,,,,,,,
2026-04-06,村上 宗隆 (CWS),ブルージェイズ 0 - 3 ホワイトソックス (試合終了),3,0,0,0,1,1,.226,4,7,,,,,,,,,
2026-04-06,千賀 滉大 (NYM),メッツ 5 - 2 ジャイアンツ (試合終了),,,,,,,,,,5.2,2,2,7,-.--,0,1,3.09,16
