date,player,team_vs,AB,H,HR,RBI,BB,SO,season_avg,season_hr,season_rbi,IP,ER,BB_pitch,SO_pitch,ERA,season_wins,season_losses,season_era,season_so
2026-07-24,松井 裕樹 (SD),パドレス 5 - 6 ブレーブス (試合終了),,,,,,,,,,1.1,0,0,1,-.--,1,1,2.68,40
2026-07-24,岡本 和真 (TOR),レイズ 1 - 3 ブルージェイズ (試合終了),3,0,0,0,0,2,.224,22,62,,,,,,,,,
