date,player,team_vs,AB,H,HR,RBI,BB,SO,season_avg,season_hr,season_rbi,IP,ER,BB_pitch,SO_pitch,ERA,season_wins,season_losses,season_era,season_so
2026-09-02,松井 裕樹 (SD),パドレス 3 - 4 レッズ (試合終了),,,,,,,,,,1.0,0,1,2,-.--,3,1,1.99,60
2026-09-02,岡本 和真 (TOR),ブルージェイズ 1 - 6 ガーディアンズ (試合終了),3,1,0,0,0,2,.229,28,78,,,,,,,,,
2026-09-02,大谷 翔平 (LAD),カージナルス 13 - 8 ドジャース (試合終了),2,1,0,0,1,0,.281,30,80,,,,,,,,,
2026-09-02,村上 宗隆 (CWS),ホワイトソックス 5 - 1 アストロズ (試合終了),4,0,0,0,1,3,.215,29,59,,,,,,,,,
2026-09-02,今井 達也 (HOU),ホワイトソックス 5 - 1 アストロズ (試合終了),,,,,,,,,,3.0,2,3,5,-.--,6,4,5.35,88
2026-09-02,鈴木 誠也 (CHC),ブルワーズ 9 - 4 カブス (試合終了),2,0,0,0,2,1,.276,24,80,,,,,,,,,
