date,player,team_vs,AB,H,HR,RBI,BB,SO,season_avg,season_hr,season_rbi,IP,ER,BB_pitch,SO_pitch,ERA,season_wins,season_losses,season_era,season_so
2026-08-20,村上 宗隆 (CWS),ホワイトソックス 3 - 0 カブス (試合終了),5,0,0,0,0,0,.230,29,58,,,,,,,,,
2026-08-20,鈴木 誠也 (CHC),ホワイトソックス 3 - 0 カブス (試合終了),2,0,0,0,2,1,.268,22,74,,,,,,,,,
2026-08-20,岡本 和真 (TOR),ブルージェイズ 6 - 7 レイズ (試合終了),3,1,0,1,1,1,.228,25,73,,,,,,,,,
2026-08-20,松井 裕樹 (SD),パドレス 2 - 4 メッツ (試合終了),,,,,,,,,,0.2,0,0,0,-.--,3,1,2.22,50
2026-08-20,千賀 滉大 (NYM),パドレス 2 - 4 メッツ (試合終了),,,,,,,,,,1.0,1,1,0,-.--,0,8,7.82,60
2026-08-20,大谷 翔平 (LAD),ドジャース 6 - 4 ロッキーズ (試合終了),4,0,0,0,1,2,.291,30,80,,,,,,,,,
2026-08-20,佐々木 朗希 (LAD),ドジャース 6 - 4 ロッキーズ (試合終了),,,,,,,,,,5.0,2,1,6,-.--,5,5,4.42,114
