date,player,team_vs,AB,H,HR,RBI,BB,SO,season_avg,season_hr,season_rbi,IP,ER,BB_pitch,SO_pitch,ERA,season_wins,season_losses,season_era,season_so
2026-05-30,岡本 和真 (TOR),ブルージェイズ 6 - 5 オリオールズ (試合終了),4,1,1,2,0,1,.216,12,31,,,,,,,,,
2026-05-30,吉田 正尚 (BOS),レッドソックス 3 - 4 ガーディアンズ (試合終了),4,1,0,0,0,0,.255,1,7,,,,,,,,,
2026-05-30,今永 昇太 (CHC),カブス 5 - 6 カージナルス (試合終了),,,,,,,,,,5.1,5,1,2,-.--,4,6,4.37,69
2026-05-30,鈴木 誠也 (CHC),カブス 5 - 6 カージナルス (試合終了),4,3,0,0,0,0,.252,7,19,,,,,,,,,
2026-05-30,大谷 翔平 (LAD),フィリーズ 2 - 4 ドジャース (試合終了),4,3,1,1,0,1,.279,10,31,,,,,,,,,
2026-05-30,村上 宗隆 (CWS),タイガース 3 - 4 ホワイトソックス (試合終了),2,0,0,0,0,1,.240,20,41,,,,,,,,,
