date,player,team_vs,AB,H,HR,RBI,BB,SO,season_avg,season_hr,season_rbi,IP,ER,BB_pitch,SO_pitch,ERA,season_wins,season_losses,season_era,season_so
2026-07-26,松井 裕樹 (SD),パドレス 7 - 2 マーリンズ (試合終了),,,,,,,,,,1.0,0,0,1,-.--,1,1,2.61,41
2026-07-26,今永 昇太 (CHC),カブス 11 - 0 パイレーツ (試合終了),,,,,,,,,,6.0,0,1,4,-.--,7,8,3.72,113
2026-07-26,鈴木 誠也 (CHC),カブス 11 - 0 パイレーツ (試合終了),5,1,0,2,0,4,.266,17,56,,,,,,,,,
2026-07-26,大谷 翔平 (LAD),ドジャース 4 - 3 メッツ (試合終了),5,0,0,0,0,1,.282,22,61,,,,,,,,,
2026-07-26,山本 由伸 (LAD),ドジャース 4 - 3 メッツ (試合終了),,,,,,,,,,6.0,1,3,5,-.--,11,6,2.72,118
2026-07-26,村上 宗隆 (CWS),アストロズ 4 - 1 ホワイトソックス (試合終了),4,1,0,0,0,1,.231,20,42,,,,,,,,,
2026-07-26,岡本 和真 (TOR),ブルージェイズ 6 - 0 レッドソックス (試合終了),5,1,0,0,0,2,.226,23,65,,,,,,,,,
2026-07-26,吉田 正尚 (BOS),ブルージェイズ 6 - 0 レッドソックス (試合終了),3,0,0,0,0,0,.261,4,19,,,,,,,,,
