date,player,team_vs,AB,H,HR,RBI,BB,SO,season_avg,season_hr,season_rbi,IP,ER,BB_pitch,SO_pitch,ERA,season_wins,season_losses,season_era,season_so
2026-06-01,吉田 正尚 (BOS),レッドソックス 9 - 4 ガーディアンズ (試合終了),5,2,0,2,0,1,.259,1,10,,,,,,,,,
2026-06-01,岡本 和真 (TOR),ブルージェイズ 5 - 9 オリオールズ (試合終了),2,0,0,0,2,2,.214,12,33,,,,,,,,,
2026-06-01,今井 達也 (HOU),ブルワーズ 2 - 0 アストロズ (試合終了),,,,,,,,,,6.0,2,2,5,-.--,2,3,5.52,28
2026-06-01,鈴木 誠也 (CHC),カブス 1 - 5 カージナルス (試合終了),4,0,0,0,0,2,.244,7,19,,,,,,,,,
2026-06-01,大谷 翔平 (LAD),フィリーズ 1 - 9 ドジャース (試合終了),5,2,0,0,0,1,.280,10,31,,,,,,,,,
2026-06-01,山本 由伸 (LAD),フィリーズ 1 - 9 ドジャース (試合終了),,,,,,,,,,5.1,0,2,10,-.--,5,4,2.86,69
