date,player,team_vs,AB,H,HR,RBI,BB,SO,season_avg,season_hr,season_rbi,IP,ER,BB_pitch,SO_pitch,ERA,season_wins,season_losses,season_era,season_so
2026-08-02,岡本 和真 (TOR),カージナルス 1 - 5 ブルージェイズ (試合終了),4,0,0,0,0,1,.228,24,69,,,,,,,,,
2026-08-02,村上 宗隆 (CWS),ホワイトソックス 0 - 1 レイズ (試合終了),4,1,0,0,0,3,.244,24,51,,,,,,,,,
2026-08-02,吉田 正尚 (BOS),レッドソックス 3 - 2 ドジャース (試合終了),3,0,0,0,0,1,.260,4,20,,,,,,,,,
2026-08-02,大谷 翔平 (LAD),レッドソックス 3 - 2 ドジャース (試合終了),3,1,0,0,1,1,.291,24,67,,,,,,,,,
2026-08-02,山本 由伸 (LAD),レッドソックス 3 - 2 ドジャース (試合終了),,,,,,,,,,8.0,3,1,3,-.--,11,7,2.76,121
2026-08-02,鈴木 誠也 (CHC),ヤンキース 2 - 5 カブス (試合終了),3,1,0,1,1,1,.270,18,61,,,,,,,,,
