date,player,team_vs,AB,H,HR,RBI,BB,SO,season_avg,season_hr,season_rbi,IP,ER,BB_pitch,SO_pitch,ERA,season_wins,season_losses,season_era,season_so
2026-09-21,千賀 滉大 (NYM),フィリーズ 7 - 2 メッツ (試合終了),,,,,,,,,,0.1,3,3,0,-.--,0,9,7.46,73
2026-09-21,鈴木 誠也 (CHC),カブス 9 - 1 レッズ (試合終了),5,1,1,1,0,1,.267,25,85,,,,,,,,,
2026-09-21,今井 達也 (HOU),ブレーブス 4 - 2 アストロズ (試合終了),,,,,,,,,,2.0,0,0,4,-.--,6,4,5.00,96
2026-09-21,村上 宗隆 (CWS),タイガース 1 - 8 ホワイトソックス (試合終了),2,0,0,1,2,1,.202,32,70,,,,,,,,,
2026-09-21,菅野 智之 (COL),マリナーズ 2 - 1 ロッキーズ (試合終了),,,,,,,,,,5.0,1,2,5,-.--,12,11,5.36,91
2026-09-21,岡本 和真 (TOR),ブルージェイズ 7 - 2 レンジャーズ (試合終了),5,1,0,1,0,1,.235,33,89,,,,,,,,,
