date,player,team_vs,AB,H,HR,RBI,BB,SO,season_avg,season_hr,season_rbi,IP,ER,BB_pitch,SO_pitch,ERA,season_wins,season_losses,season_era,season_so
2026-05-03,岡本 和真 (TOR),ブルージェイズ 11 - 4 ツインズ (試合終了),5,2,1,2,0,0,.235,8,20,,,,,,,,,
2026-05-03,今永 昇太 (CHC),ダイヤモンドバックス 0 - 2 カブス (試合終了),,,,,,,,,,7.0,0,1,5,-.--,3,2,2.40,43
2026-05-03,鈴木 誠也 (CHC),ダイヤモンドバックス 0 - 2 カブス (試合終了),3,0,0,1,0,0,.301,5,10,,,,,,,,,
2026-05-03,吉田 正尚 (BOS),アストロズ 6 - 3 レッドソックス (試合終了),0,0,0,0,1,0,.265,0,5,,,,,,,,,
2026-05-03,大谷 翔平 (LAD),ドジャース 2 - 3 カージナルス (試合終了),4,0,0,0,0,2,.252,6,13,,,,,,,,,
2026-05-03,村上 宗隆 (CWS),ホワイトソックス 4 - 0 パドレス (試合終了),4,0,0,0,0,2,.231,13,26,,,,,,,,,
