date,player,team_vs,AB,H,HR,RBI,BB,SO,season_avg,season_hr,season_rbi,IP,ER,BB_pitch,SO_pitch,ERA,season_wins,season_losses,season_era,season_so
2026-04-08,村上 宗隆 (CWS),オリオールズ 4 - 2 ホワイトソックス,1,0,0,0,0,1,.200,4,7,,,,,,,,,
2026-04-08,大谷 翔平 (LAD),ドジャース 4 - 1 ブルージェイズ,3,1,0,1,2,0,.286,3,8,,,,,,,,,
2026-04-08,山本 由伸 (LAD),ドジャース 4 - 1 ブルージェイズ,,,,,,,,,,6.0,1,1,6,-.--,2,1,2.50,14
2026-04-08,岡本 和真 (TOR),ドジャース 4 - 1 ブルージェイズ,4,1,0,0,0,1,.262,2,3,,,,,,,,,
2026-04-08,菊池 雄星 (HOU),ブレーブス 7 - 2 エンゼルス,,,,,,,,,,5.0,4,1,8,-.--,0,2,6.75,16
