date,player,team_vs,AB,H,HR,RBI,BB,SO,season_avg,season_hr,season_rbi,IP,ER,BB_pitch,SO_pitch,ERA,season_wins,season_losses,season_era,season_so
2026-07-21,吉田 正尚 (BOS),オリオールズ 5 - 6 レッドソックス (試合終了),4,1,0,0,0,1,.267,4,18,,,,,,,,,
2026-07-21,鈴木 誠也 (CHC),タイガース 8 - 6 カブス (試合終了),4,1,1,2,1,2,.273,16,50,,,,,,,,,
2026-07-21,大谷 翔平 (LAD),ドジャース 7 - 10 フィリーズ (試合終了),4,0,0,0,1,2,.287,22,60,,,,,,,,,
2026-07-21,岡本 和真 (TOR),レイズ 7 - 1 ブルージェイズ (試合終了),3,0,0,0,1,0,.229,22,62,,,,,,,,,
2026-07-21,村上 宗隆 (CWS),ホワイトソックス 10 - 3 レンジャーズ (試合終了),3,1,0,0,2,1,.232,20,42,,,,,,,,,
