date,player,team_vs,AB,H,HR,RBI,BB,SO,season_avg,season_hr,season_rbi,IP,ER,BB_pitch,SO_pitch,ERA,season_wins,season_losses,season_era,season_so
2026-09-12,菊池 雄星 (LAA),エンゼルス 3 - 4 ナショナルズ (試合終了),,,,,,,,,,4.0,1,4,5,-.--,1,5,4.75,54
2026-09-12,岡本 和真 (TOR),オリオールズ 7 - 4 ブルージェイズ (試合終了),4,2,1,1,0,1,.234,31,84,,,,,,,,,
2026-09-12,今永 昇太 (CHC),パイレーツ 2 - 12 カブス (試合終了),,,,,,,,,,6.0,2,2,4,-.--,10,10,3.88,156
2026-09-12,鈴木 誠也 (CHC),パイレーツ 2 - 12 カブス (試合終了),5,3,0,1,0,0,.270,24,81,,,,,,,,,
2026-09-12,松井 裕樹 (SD),パドレス 7 - 5 ジャイアンツ (試合終了),,,,,,,,,,1.0,0,0,0,-.--,3,1,2.02,62
2026-09-12,村上 宗隆 (CWS),ホワイトソックス 3 - 7 カージナルス (試合終了),1,0,0,1,0,0,.207,31,64,,,,,,,,,
