date,player,team_vs,AB,H,HR,RBI,BB,SO,season_avg,season_hr,season_rbi,IP,ER,BB_pitch,SO_pitch,ERA,season_wins,season_losses,season_era,season_so
2026-08-13,吉田 正尚 (BOS),レッドソックス 4 - 6 ブルージェイズ (試合終了),4,0,0,0,0,1,.265,5,26,,,,,,,,,
2026-08-13,岡本 和真 (TOR),レッドソックス 4 - 6 ブルージェイズ (試合終了),3,2,0,1,1,0,.228,24,71,,,,,,,,,
2026-08-13,今井 達也 (HOU),アストロズ 2 - 1 ジャイアンツ (試合終了),,,,,,,,,,3.0,0,2,3,-.--,6,4,5.29,80
2026-08-13,鈴木 誠也 (CHC),カブス 12 - 6 ナショナルズ (試合終了),4,2,0,2,1,1,.273,20,70,,,,,,,,,
2026-08-13,村上 宗隆 (CWS),レッズ 0 - 5 ホワイトソックス (試合終了),3,0,0,0,1,0,.235,26,54,,,,,,,,,
2026-08-13,大谷 翔平 (LAD),ロイヤルズ 2 - 4 ドジャース (試合終了),4,2,1,2,0,1,.292,27,74,,,,,,,,,
