date,player,team_vs,AB,H,HR,RBI,BB,SO,season_avg,season_hr,season_rbi,IP,ER,BB_pitch,SO_pitch,ERA,season_wins,season_losses,season_era,season_so
2026-09-16,千賀 滉大 (NYM),オリオールズ 7 - 5 メッツ (試合終了),,,,,,,,,,1.0,1,0,2,-.--,0,9,7.05,73
2026-09-16,山本 由伸 (LAD),ドジャース 4 - 0 レッズ (試合終了),,,,,,,,,,7.0,0,2,7,-.--,14,8,2.51,178
2026-09-16,岡本 和真 (TOR),タイガース 10 - 1 ブルージェイズ (試合終了),4,1,0,0,0,1,.236,33,88,,,,,,,,,
2026-09-16,村上 宗隆 (CWS),ホワイトソックス 6 - 7 ガーディアンズ (試合終了),4,0,0,0,1,4,.202,31,65,,,,,,,,,
2026-09-16,鈴木 誠也 (CHC),ブレーブス 6 - 3 カブス (試合終了),4,1,0,0,0,2,.268,24,81,,,,,,,,,
