date,player,team_vs,AB,H,HR,RBI,BB,SO,season_avg,season_hr,season_rbi,IP,ER,BB_pitch,SO_pitch,ERA,season_wins,season_losses,season_era,season_so
2026-04-18,千賀 滉大 (NYM),メッツ 4 - 12 カブス,,,,,,,,,,3.1,6,3,3,-.--,0,3,8.83,22
2026-04-18,鈴木 誠也 (CHC),メッツ 4 - 12 カブス,5,2,0,1,0,1,.286,0,2,,,,,,,,,
2026-04-18,吉田 正尚 (BOS),タイガース 0 - 1 レッドソックス,1,1,0,1,0,0,.310,0,5,,,,,,,,,
2026-04-18,村上 宗隆 (CWS),ホワイトソックス 9 - 2 アスレチックス,5,3,1,4,0,2,.200,6,13,,,,,,,,,
2026-04-18,岡本 和真 (TOR),ブルージェイズ 3 - 6 ダイヤモンドバックス,4,0,0,0,0,1,.188,2,4,,,,,,,,,
2026-04-18,大谷 翔平 (LAD),ドジャース 7 - 1 ロッキーズ,5,2,0,0,0,1,.265,5,10,,,,,,,,,
2026-04-18,菅野 智之 (COL),ドジャース 7 - 1 ロッキーズ,,,,,,,,,,4.0,5,2,3,-.--,1,1,3.92,15
