date,player,team_vs,AB,H,HR,RBI,BB,SO,season_avg,season_hr,season_rbi,IP,ER,BB_pitch,SO_pitch,ERA,season_wins,season_losses,season_era,season_so
2026-04-15,鈴木 誠也 (CHC),カブス 10 - 4 フィリーズ,5,1,0,0,0,3,.211,0,1,,,,,,,,,
2026-04-15,村上 宗隆 (CWS),レイズ 8 - 5 ホワイトソックス,3,1,1,2,2,0,.167,5,9,,,,,,,,,
2026-04-15,岡本 和真 (TOR),ブルージェイズ 9 - 7 ブルワーズ,4,2,0,1,0,1,.224,2,4,,,,,,,,,
2026-04-15,吉田 正尚 (BOS),レッドソックス 0 - 6 ツインズ,4,2,0,0,0,0,.304,0,3,,,,,,,,,
2026-04-15,大谷 翔平 (LAD),メッツ 1 - 2 ドジャース,3,0,0,0,1,0,.254,5,10,,,,,,,,,
2026-04-15,山本 由伸 (LAD),メッツ 1 - 2 ドジャース,,,,,,,,,,7.2,1,1,7,-.--,2,1,2.10,21
