date,player,team_vs,AB,H,HR,RBI,BB,SO,season_avg,season_hr,season_rbi,IP,ER,BB_pitch,SO_pitch,ERA,season_wins,season_losses,season_era,season_so
2026-05-16,岡本 和真 (TOR),ブルージェイズ 2 - 3 タイガース (試合終了),4,1,0,0,0,2,.239,10,27,,,,,,,,,
2026-05-16,鈴木 誠也 (CHC),カブス 10 - 5 ホワイトソックス (試合終了),4,2,0,1,1,2,.272,7,17,,,,,,,,,
2026-05-16,村上 宗隆 (CWS),カブス 10 - 5 ホワイトソックス (試合終了),4,1,0,0,0,1,.227,15,29,,,,,,,,,
2026-05-16,吉田 正尚 (BOS),レッドソックス 2 - 3 ブレーブス (試合終了),1,0,0,0,0,0,.270,0,5,,,,,,,,,
2026-05-16,大谷 翔平 (LAD),ドジャース 6 - 0 エンゼルス (試合終了),4,1,0,0,1,2,.240,7,17,,,,,,,,,
