date,player,team_vs,AB,H,HR,RBI,BB,SO,season_avg,season_hr,season_rbi,IP,ER,BB_pitch,SO_pitch,ERA,season_wins,season_losses,season_era,season_so
2026-06-27,岡本 和真 (TOR),レンジャーズ 5 - 4 ブルージェイズ,4,2,1,2,0,2,.245,19,53,,,,,,,,,
2026-06-27,菅野 智之 (COL),ロッキーズ 8 - 9 ツインズ,,,,,,,,,,5.0,7,1,2,-.--,8,4,4.80,48
2026-06-27,鈴木 誠也 (CHC),カブス 2 - 6 ブルワーズ,2,1,1,2,1,1,.260,11,33,,,,,,,,,
2026-06-27,大谷 翔平 (LAD),ドジャース 1 - 7 パドレス,4,1,0,0,0,1,.294,17,46,,,,,,,,,
2026-06-27,佐々木 朗希 (LAD),ドジャース 1 - 7 パドレス,,,,,,,,,,4.0,3,5,2,-.--,3,5,4.88,72
2026-06-27,松井 裕樹 (SD),ドジャース 1 - 7 パドレス,,,,,,,,,,0.2,0,1,0,-.--,0,1,1.63,31
