date,player,team_vs,AB,H,HR,RBI,BB,SO,season_avg,season_hr,season_rbi,IP,ER,BB_pitch,SO_pitch,ERA,season_wins,season_losses,season_era,season_so
2026-08-12,今永 昇太 (CHC),カブス 8 - 6 ナショナルズ (試合終了),,,,,,,,,,4.2,4,0,5,-.--,8,9,3.74,130
2026-08-12,鈴木 誠也 (CHC),カブス 8 - 6 ナショナルズ (試合終了),5,2,1,2,0,1,.271,20,68,,,,,,,,,
2026-08-12,吉田 正尚 (BOS),レッドソックス 3 - 5 ブルージェイズ (試合終了),5,1,0,0,0,2,.269,5,26,,,,,,,,,
2026-08-12,村上 宗隆 (CWS),レッズ 5 - 4 ホワイトソックス (試合終了),4,1,0,0,0,1,.237,26,54,,,,,,,,,
2026-08-12,大谷 翔平 (LAD),ロイヤルズ 4 - 5 ドジャース (試合終了),5,0,0,0,0,2,.290,26,72,,,,,,,,,
2026-08-12,菅野 智之 (COL),ロッキーズ 3 - 2 ダイヤモンドバックス (試合終了),,,,,,,,,,6.0,2,0,5,-.--,12,5,4.43,66
