date,player,team_vs,AB,H,HR,RBI,BB,SO,season_avg,season_hr,season_rbi,IP,ER,BB_pitch,SO_pitch,ERA,season_wins,season_losses,season_era,season_so
2026-08-31,岡本 和真 (TOR),マリナーズ 0 - 7 ブルージェイズ (試合終了),3,1,1,1,1,0,.230,28,78,,,,,,,,,
2026-08-31,菊池 雄星 (LAA),フィリーズ 5 - 2 エンゼルス (試合終了),,,,,,,,,,7.0,2,1,6,-.--,0,5,5.65,43
2026-08-31,松井 裕樹 (SD),パドレス 4 - 5 レイズ (試合終了),,,,,,,,,,1.0,0,1,2,-.--,3,1,2.03,58
2026-08-31,村上 宗隆 (CWS),ホワイトソックス 1 - 5 ツインズ (試合終了),4,0,0,0,0,1,.218,29,58,,,,,,,,,
2026-08-31,今永 昇太 (CHC),レッズ 7 - 5 カブス (試合終了),,,,,,,,,,5.0,6,1,4,-.--,8,10,4.01,148
2026-08-31,鈴木 誠也 (CHC),レッズ 7 - 5 カブス (試合終了),5,0,0,0,0,1,.274,23,79,,,,,,,,,
2026-08-31,大谷 翔平 (LAD),ドジャース 6 - 1 タイガース (試合終了),5,0,0,0,0,2,.280,30,80,,,,,,,,,
