date,player,team_vs,AB,H,HR,RBI,BB,SO,season_avg,season_hr,season_rbi,IP,ER,BB_pitch,SO_pitch,ERA,season_wins,season_losses,season_era,season_so
2026-09-09,松井 裕樹 (SD),ナショナルズ 4 - 5 パドレス (試合終了),,,,,,,,,,0.2,1,0,1,-.--,3,1,2.09,62
2026-09-09,岡本 和真 (TOR),ブルージェイズ 4 - 2 アスレチックス (試合終了),4,2,1,1,0,0,.234,30,83,,,,,,,,,
2026-09-09,千賀 滉大 (NYM),メッツ 7 - 5 マーリンズ (試合終了),,,,,,,,,,1.0,1,0,2,-.--,0,9,7.14,68
2026-09-09,鈴木 誠也 (CHC),カブス 3 - 4 ブルワーズ (試合終了),5,1,0,0,0,0,.268,24,80,,,,,,,,,
2026-09-09,村上 宗隆 (CWS),パイレーツ 9 - 3 ホワイトソックス (試合終了),4,0,0,0,0,4,.209,30,62,,,,,,,,,
