date,player,team_vs,AB,H,HR,RBI,BB,SO,season_avg,season_hr,season_rbi,IP,ER,BB_pitch,SO_pitch,ERA,season_wins,season_losses,season_era,season_so
2026-05-04,岡本 和真 (TOR),ブルージェイズ 3 - 4 ツインズ (試合終了),4,1,1,2,1,2,.236,9,22,,,,,,,,,
2026-05-04,吉田 正尚 (BOS),アストロズ 3 - 1 レッドソックス (試合終了),1,1,0,0,0,0,.280,0,5,,,,,,,,,
2026-05-04,大谷 翔平 (LAD),ドジャース 4 - 1 カージナルス (試合終了),3,0,0,0,1,0,.246,6,13,,,,,,,,,
2026-05-04,鈴木 誠也 (CHC),ダイヤモンドバックス 4 - 8 カブス (試合終了),5,2,0,0,0,3,.308,5,10,,,,,,,,,
2026-05-04,村上 宗隆 (CWS),ホワイトソックス 3 - 4 パドレス (試合終了),4,0,0,0,0,2,.223,13,26,,,,,,,,,
