date,player,team_vs,AB,H,HR,RBI,BB,SO,season_avg,season_hr,season_rbi,IP,ER,BB_pitch,SO_pitch,ERA,season_wins,season_losses,season_era,season_so
2026-05-17,岡本 和真 (TOR),ブルージェイズ 2 - 1 タイガース (試合終了),4,0,0,0,0,1,.233,10,27,,,,,,,,,
2026-05-17,鈴木 誠也 (CHC),カブス 3 - 8 ホワイトソックス (試合終了),4,0,0,0,0,2,.263,7,17,,,,,,,,,
2026-05-17,村上 宗隆 (CWS),カブス 3 - 8 ホワイトソックス (試合終了),3,2,2,3,1,1,.236,17,32,,,,,,,,,
2026-05-17,吉田 正尚 (BOS),レッドソックス 3 - 2 ブレーブス (試合終了),3,0,0,1,0,0,.260,0,6,,,,,,,,,
2026-05-17,大谷 翔平 (LAD),ドジャース 15 - 2 エンゼルス (試合終了),4,2,0,5,2,0,.247,7,22,,,,,,,,,
