date,player,team_vs,AB,H,HR,RBI,BB,SO,season_avg,season_hr,season_rbi,IP,ER,BB_pitch,SO_pitch,ERA,season_wins,season_losses,season_era,season_so
2026-05-21,村上 宗隆 (CWS),ホワイトソックス 4 - 5 マリナーズ,5,2,0,1,0,1,.244,17,33,,,,,,,,,
2026-05-21,吉田 正尚 (BOS),レッドソックス 4 - 3 ロイヤルズ,5,1,0,0,0,0,.258,0,6,,,,,,,,,
2026-05-21,鈴木 誠也 (CHC),ブルワーズ 5 - 0 カブス,2,0,0,0,1,1,.261,7,17,,,,,,,,,
2026-05-21,大谷 翔平 (LAD),ドジャース 4 - 0 パドレス,4,1,1,1,1,1,.272,8,26,5.0,0,2,4,-.--,4,2,0.73,54
2026-05-21,松井 裕樹 (SD),ドジャース 4 - 0 パドレス,,,,,,,,,,1.1,0,2,2,-.--,0,0,0.00,12
2026-05-21,岡本 和真 (TOR),ブルージェイズ 2 - 1 ヤンキース,4,0,0,0,0,3,.223,10,27,,,,,,,,,
