date,player,team_vs,AB,H,HR,RBI,BB,SO,season_avg,season_hr,season_rbi,IP,ER,BB_pitch,SO_pitch,ERA,season_wins,season_losses,season_era,season_so
2026-06-03,吉田 正尚 (BOS),オリオールズ 4 - 2 レッドソックス,4,0,0,0,0,3,.250,1,10,,,,,,,,,
2026-06-03,岡本 和真 (TOR),ブルージェイズ 3 - 4 ブレーブス,3,2,1,2,1,0,.221,13,35,,,,,,,,,
2026-06-03,松井 裕樹 (SD),パドレス 2 - 3 フィリーズ,,,,,,,,,,0.2,0,1,1,-.--,0,0,0.57,16
2026-06-03,大谷 翔平 (LAD),ドジャース 6 - 5 ダイヤモンドバックス,4,2,0,2,1,1,.293,10,33,,,,,,,,,
2026-06-03,鈴木 誠也 (CHC),アスレチックス 2 - 1 カブス,4,0,0,0,0,2,.239,7,19,,,,,,,,,
2026-06-03,菅野 智之 (COL),ロッキーズ 8 - 2 エンゼルス,,,,,,,,,,5.0,2,2,5,-.--,5,4,3.98,36
