date,player,team_vs,AB,H,HR,RBI,BB,SO,season_avg,season_hr,season_rbi,IP,ER,BB_pitch,SO_pitch,ERA,season_wins,season_losses,season_era,season_so
2026-09-03,鈴木 誠也 (CHC),ブルワーズ 9 - 5 カブス (試合終了),3,0,0,0,2,0,.275,24,80,,,,,,,,,
2026-09-03,岡本 和真 (TOR),ブルージェイズ 11 - 0 ガーディアンズ (試合終了),4,0,0,0,0,3,.227,28,78,,,,,,,,,
2026-09-03,菅野 智之 (COL),オリオールズ 5 - 6 ロッキーズ (試合終了),,,,,,,,,,6.0,3,1,4,-.--,12,8,5.19,79
2026-09-03,大谷 翔平 (LAD),カージナルス 8 - 6 ドジャース (試合終了),4,0,0,0,1,4,.279,30,80,,,,,,,,,
2026-09-03,山本 由伸 (LAD),カージナルス 8 - 6 ドジャース (試合終了),,,,,,,,,,7.0,4,2,8,-.--,12,8,2.67,161
2026-09-03,村上 宗隆 (CWS),ホワイトソックス 0 - 2 アストロズ (試合終了),4,1,0,0,0,1,.215,29,59,,,,,,,,,
