date,player,team_vs,AB,H,HR,RBI,BB,SO,season_avg,season_hr,season_rbi,IP,ER,BB_pitch,SO_pitch,ERA,season_wins,season_losses,season_era,season_so
2026-07-29,村上 宗隆 (CWS),ヤンキース 3 - 2 ホワイトソックス (試合終了),4,1,0,0,0,2,.240,22,48,,,,,,,,,
2026-07-29,大谷 翔平 (LAD),マリナーズ 7 - 6 ドジャース (試合終了),4,3,1,3,1,0,.286,23,64,,,,,,,,,
2026-07-29,岡本 和真 (TOR),ブルージェイズ 6 - 8 ナショナルズ (試合終了),2,1,1,1,0,0,.226,24,66,,,,,,,,,
2026-07-29,鈴木 誠也 (CHC),カブス 10 - 2 カージナルス (試合終了),5,3,0,2,0,2,.272,18,60,,,,,,,,,
2026-07-29,吉田 正尚 (BOS),レッドソックス 3 - 4 アスレチックス (試合終了),1,1,0,0,0,0,.262,4,19,,,,,,,,,
