date,player,team_vs,AB,H,HR,RBI,BB,SO,season_avg,season_hr,season_rbi,IP,ER,BB_pitch,SO_pitch,ERA,season_wins,season_losses,season_era,season_so
2026-09-05,今永 昇太 (CHC),カブス 6 - 1 マーリンズ (試合終了),,,,,,,,,,6.0,1,0,4,-.--,9,10,3.91,152
2026-09-05,鈴木 誠也 (CHC),カブス 6 - 1 マーリンズ (試合終了),5,0,0,0,0,0,.270,24,80,,,,,,,,,
2026-09-05,村上 宗隆 (CWS),ツインズ 1 - 4 ホワイトソックス (試合終了),4,0,0,0,0,1,.211,29,59,,,,,,,,,
2026-09-05,松井 裕樹 (SD),ヤンキース 2 - 3 パドレス (試合終了),,,,,,,,,,1.0,0,0,1,-.--,3,1,1.95,61
2026-09-05,千賀 滉大 (NYM),ジャイアンツ 6 - 10 メッツ (試合終了),,,,,,,,,,1.0,0,1,0,-.--,0,9,7.23,65
2026-09-05,岡本 和真 (TOR),ブルージェイズ 9 - 2 ロイヤルズ (試合終了),5,1,0,1,0,2,.227,28,79,,,,,,,,,
