date,player,team_vs,AB,H,HR,RBI,BB,SO,season_avg,season_hr,season_rbi,IP,ER,BB_pitch,SO_pitch,ERA,season_wins,season_losses,season_era,season_so
2026-09-18,村上 宗隆 (CWS),タイガース 1 - 3 ホワイトソックス (試合終了),4,2,1,3,0,2,.205,32,68,,,,,,,,,
2026-09-18,松井 裕樹 (SD),パドレス 9 - 2 ロッキーズ (試合終了),,,,,,,,,,1.0,0,0,2,-.--,3,1,1.92,66
