date,player,team_vs,AB,H,HR,RBI,BB,SO,season_avg,season_hr,season_rbi,IP,ER,BB_pitch,SO_pitch,ERA,season_wins,season_losses,season_era,season_so
2026-08-17,松井 裕樹 (SD),パドレス 5 - 0 ガーディアンズ (試合終了),,,,,,,,,,1.0,0,1,2,-.--,3,1,2.25,50
2026-08-17,鈴木 誠也 (CHC),カージナルス 11 - 4 カブス (試合終了),5,1,0,0,0,3,.273,21,73,,,,,,,,,
2026-08-17,岡本 和真 (TOR),ヤンキース 4 - 3 ブルージェイズ (試合終了),4,1,0,0,0,1,.227,24,71,,,,,,,,,
2026-08-17,村上 宗隆 (CWS),ホワイトソックス 7 - 5 タイガース (試合終了),5,1,1,2,0,2,.235,28,57,,,,,,,,,
2026-08-17,大谷 翔平 (LAD),ブルワーズ 6 - 2 ドジャース (試合終了),4,1,0,0,0,1,.289,27,75,,,,,,,,,
2026-08-17,千賀 滉大 (NYM),ナショナルズ 3 - 4 メッツ (試合終了),,,,,,,,,,1.0,0,0,2,-.--,0,8,7.79,60
