date,player,team_vs,AB,H,HR,RBI,BB,SO,season_avg,season_hr,season_rbi,IP,ER,BB_pitch,SO_pitch,ERA,season_wins,season_losses,season_era,season_so
2026-07-25,村上 宗隆 (CWS),アストロズ 9 - 5 ホワイトソックス (試合終了),4,1,0,0,1,1,.231,20,42,,,,,,,,,
2026-07-25,菅野 智之 (COL),ロッキーズ 5 - 2 ブルワーズ (試合終了),,,,,,,,,,5.1,2,1,5,-.--,10,4,4.69,56
2026-07-25,岡本 和真 (TOR),ブルージェイズ 4 - 6 レッドソックス (試合終了),5,2,1,3,0,2,.227,23,65,,,,,,,,,
2026-07-25,吉田 正尚 (BOS),ブルージェイズ 4 - 6 レッドソックス (試合終了),2,0,0,0,2,0,.265,4,19,,,,,,,,,
2026-07-25,鈴木 誠也 (CHC),カブス 3 - 2 パイレーツ (試合終了),4,0,0,1,1,1,.267,17,54,,,,,,,,,
2026-07-25,大谷 翔平 (LAD),ドジャース 4 - 2 メッツ (試合終了),4,2,0,1,0,1,.286,22,61,,,,,,,,,
2026-07-25,佐々木 朗希 (LAD),ドジャース 4 - 2 メッツ (試合終了),,,,,,,,,,7.0,1,2,9,-.--,4,5,4.71,94
