date,player,team_vs,AB,H,HR,RBI,BB,SO,season_avg,season_hr,season_rbi,IP,ER,BB_pitch,SO_pitch,ERA,season_wins,season_losses,season_era,season_so
2026-04-05,岡本 和真 (TOR),ブルージェイズ 3 - 6 ホワイトソックス,3,1,0,0,1,0,.258,2,3,,,,,,,,,
2026-04-05,村上 宗隆 (CWS),ブルージェイズ 3 - 6 ホワイトソックス,3,1,1,3,0,1,.250,4,7,,,,,,,,,
2026-04-05,吉田 正尚 (BOS),パドレス 3 - 2 レッドソックス,1,0,0,0,0,1,.000,0,0,,,,,,,,,
2026-04-05,大谷 翔平 (LAD),ドジャース 10 - 5 ナショナルズ,6,2,0,0,0,2,.241,1,4,,,,,,,,,
2026-04-05,今井 達也 (HOU),アストロズ 11 - 0 アスレチックス,,,,,,,,,,5.2,0,3,9,-.--,1,0,4.32,13
2026-04-05,今永 昇太 (CHC),カブス vs ガーディアンズ (延期),,,,,,,,,,5.0,1,1,4,-.--,0,1,4.50,11
