date,player,team_vs,AB,H,HR,RBI,BB,SO,season_avg,season_hr,season_rbi,IP,ER,BB_pitch,SO_pitch,ERA,season_wins,season_losses,season_era,season_so
2026-09-23,村上 宗隆 (CWS),ホワイトソックス 14 - 11 ロイヤルズ (試合終了),3,1,1,2,1,1,.203,33,72,,,,,,,,,
2026-09-23,千賀 滉大 (NYM),メッツ 6 - 3 レンジャーズ (試合終了),,,,,,,,,,1.0,0,0,2,-.--,0,9,7.34,75
2026-09-23,今永 昇太 (CHC),マーリンズ 8 - 2 カブス (試合終了),,,,,,,,,,5.0,1,0,7,-.--,11,10,3.74,171
2026-09-23,鈴木 誠也 (CHC),マーリンズ 8 - 2 カブス (試合終了),6,2,0,0,0,1,.267,25,85,,,,,,,,,
2026-09-23,佐々木 朗希 (LAD),パドレス 0 - 7 ドジャース (試合終了),,,,,,,,,,1.0,0,0,2,-.--,5,5,4.56,119
2026-09-23,菊池 雄星 (LAA),エンゼルス 7 - 9 アスレチックス (試合終了),,,,,,,,,,5.1,2,1,2,-.--,1,6,4.88,60
