date,player,team_vs,AB,H,HR,RBI,BB,SO,season_avg,season_hr,season_rbi,IP,ER,BB_pitch,SO_pitch,ERA,season_wins,season_losses,season_era,season_so
2026-07-08,松井 裕樹 (SD),ダイヤモンドバックス 1 - 4 パドレス (試合終了),,,,,,,,,,0.1,0,0,1,-.--,0,1,2.01,35
2026-07-08,今井 達也 (HOU),アストロズ 6 - 3 ナショナルズ (試合終了),,,,,,,,,,3.2,2,3,3,-.--,5,4,6.06,63
2026-07-08,鈴木 誠也 (CHC),カブス 5 - 2 オリオールズ (試合終了),4,0,0,0,0,1,.260,13,42,,,,,,,,,
2026-07-08,千賀 滉大 (NYM),ロイヤルズ 16 - 12 メッツ (試合終了),,,,,,,,,,3.0,4,4,4,-.--,0,7,8.92,46
2026-07-08,岡本 和真 (TOR),ブルージェイズ 9 - 3 ジャイアンツ (試合終了),5,1,0,0,0,0,.235,20,55,,,,,,,,,
2026-07-08,大谷 翔平 (LAD),ロッキーズ 4 - 3 ドジャース (試合終了),4,1,1,1,1,1,.294,20,56,,,,,,,,,
