date,player,team_vs,AB,H,HR,RBI,BB,SO,season_avg,season_hr,season_rbi,IP,ER,BB_pitch,SO_pitch,ERA,season_wins,season_losses,season_era,season_so
2026-09-17,松井 裕樹 (SD),パドレス 9 - 3 ロッキーズ (試合終了),,,,,,,,,,1.0,0,2,1,-.--,3,1,1.95,64
2026-09-17,村上 宗隆 (CWS),ホワイトソックス 3 - 6 ガーディアンズ (試合終了),1,0,0,0,1,0,.202,31,65,,,,,,,,,
2026-09-17,岡本 和真 (TOR),タイガース 1 - 5 ブルージェイズ (試合終了),3,0,0,0,1,1,.235,33,88,,,,,,,,,
2026-09-17,今永 昇太 (CHC),ブレーブス 4 - 8 カブス (試合終了),,,,,,,,,,6.0,1,0,8,-.--,11,10,3.80,164
2026-09-17,鈴木 誠也 (CHC),ブレーブス 4 - 8 カブス (試合終了),4,0,0,0,0,1,.266,24,81,,,,,,,,,
2026-09-17,今井 達也 (HOU),ロイヤルズ 5 - 2 アストロズ (試合終了),,,,,,,,,,1.0,0,1,1,-.--,6,4,5.13,92
2026-09-17,菊池 雄星 (LAA),マリナーズ 7 - 2 エンゼルス (試合終了),,,,,,,,,,4.1,4,5,4,-.--,1,6,5.02,58
