date,player,team_vs,AB,H,HR,RBI,BB,SO,season_avg,season_hr,season_rbi,IP,ER,BB_pitch,SO_pitch,ERA,season_wins,season_losses,season_era,season_so
2026-04-14,菊池 雄星 (HOU),エンゼルス 10 - 11 ヤンキース,,,,,,,,,,3.1,4,4,3,-.--,0,2,7.50,19
2026-04-14,鈴木 誠也 (CHC),カブス 7 - 13 フィリーズ,4,1,0,1,1,0,.214,0,1,,,,,,,,,
2026-04-14,大谷 翔平 (LAD),メッツ 0 - 4 ドジャース,4,0,0,0,0,1,.267,5,10,,,,,,,,,
