date,player,team_vs,AB,H,HR,RBI,BB,SO,season_avg,season_hr,season_rbi,IP,ER,BB_pitch,SO_pitch,ERA,season_wins,season_losses,season_era,season_so
2026-08-24,岡本 和真 (TOR),ブルージェイズ 3 - 8 ヤンキース (試合終了),3,1,0,0,1,0,.230,26,74,,,,,,,,,
2026-08-24,千賀 滉大 (NYM),メッツ 1 - 2 ホワイトソックス (試合終了),,,,,,,,,,0.1,1,0,0,-.--,0,9,7.79,62
2026-08-24,村上 宗隆 (CWS),メッツ 1 - 2 ホワイトソックス (試合終了),3,0,0,0,1,2,.223,29,58,,,,,,,,,
2026-08-24,菊池 雄星 (LAA),エンゼルス 3 - 5 レンジャーズ (試合終了),,,,,,,,,,5.0,5,1,4,-.--,0,4,6.25,37
2026-08-24,今永 昇太 (CHC),カブス 19 - 2 マリナーズ (試合終了),,,,,,,,,,2.0,1,2,4,-.--,8,9,3.78,144
2026-08-24,鈴木 誠也 (CHC),カブス 19 - 2 マリナーズ (試合終了),3,2,0,0,3,0,.270,22,74,,,,,,,,,
2026-08-24,菅野 智之 (COL),ガーディアンズ 7 - 2 ロッキーズ (試合終了),,,,,,,,,,3.0,5,1,2,-.--,12,7,4.96,71
2026-08-24,大谷 翔平 (LAD),パイレーツ 0 - 4 ドジャース (試合終了),3,0,0,0,1,1,.288,30,80,,,,,,,,,
2026-08-24,松井 裕樹 (SD),ツインズ 1 - 8 パドレス (試合終了),,,,,,,,,,1.0,0,0,1,-.--,3,1,2.17,51
