date,player,team_vs,AB,H,HR,RBI,BB,SO,season_avg,season_hr,season_rbi,IP,ER,BB_pitch,SO_pitch,ERA,season_wins,season_losses,season_era,season_so
2026-05-28,岡本 和真 (TOR),マーリンズ 1 - 2 ブルージェイズ,2,1,1,1,0,1,.218,11,29,,,,,,,,,
2026-05-28,鈴木 誠也 (CHC),カブス 10 - 4 パイレーツ,5,1,0,0,0,2,.234,7,17,,,,,,,,,
2026-05-28,村上 宗隆 (CWS),ツインズ 2 - 15 ホワイトソックス,4,2,1,1,1,1,.240,20,40,,,,,,,,,
2026-05-28,吉田 正尚 (BOS),ブレーブス 0 - 8 レッドソックス,4,1,0,0,0,0,.255,1,7,,,,,,,,,
2026-05-28,菅野 智之 (COL),ロッキーズ 1 - 4 ドジャース,,,,,,,,,,4.2,3,1,3,-.--,4,4,4.01,31
2026-05-28,大谷 翔平 (LAD),ロッキーズ 1 - 4 ドジャース,4,1,1,1,0,1,.269,9,30,6.0,1,4,7,-.--,5,2,0.82,61
