date,player,team_vs,AB,H,HR,RBI,BB,SO,season_avg,season_hr,season_rbi,IP,ER,BB_pitch,SO_pitch,ERA,season_wins,season_losses,season_era,season_so
2026-05-19,岡本 和真 (TOR),ブルージェイズ 6 - 7 ヤンキース,4,1,0,0,0,3,.234,10,27,,,,,,,,,
2026-05-19,今永 昇太 (CHC),ブルワーズ 9 - 3 カブス,,,,,,,,,,4.1,8,3,2,-.--,4,4,3.38,61
2026-05-19,鈴木 誠也 (CHC),ブルワーズ 9 - 3 カブス,4,2,0,0,0,0,.266,7,17,,,,,,,,,
2026-05-19,今井 達也 (HOU),アストロズ 3 - 6 ツインズ,,,,,,,,,,4.2,3,0,5,-.--,1,2,8.31,21
2026-05-19,大谷 翔平 (LAD),ドジャース 0 - 1 パドレス,3,2,0,0,1,0,.265,7,24,,,,,,,,,
2026-05-19,山本 由伸 (LAD),ドジャース 0 - 1 パドレス,,,,,,,,,,7.0,1,2,8,-.--,3,4,3.32,56
2026-05-19,村上 宗隆 (CWS),ホワイトソックス 1 - 6 マリナーズ,3,2,0,0,1,0,.242,17,32,,,,,,,,,
2026-05-19,吉田 正尚 (BOS),レッドソックス 3 - 1 ロイヤルズ,4,1,0,0,0,0,.259,0,6,,,,,,,,,
